Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2017,2017,1000 SLC,351717,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2018,2018,1000 SLC,359200,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2019,2019,1000 SLC,416307,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2020,2020,1000 SLC,424169,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2021,2021,1000 SLC,426281,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2022,2022,1000 SLC,433108,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,55,Gross Production Value (constant 2014-2016 thousand SLC),1341,Apples,2023,2023,1000 SLC,438617,E,Estimated value
QV,Value of Agricultural Production,554,New Zealand,57,Gross Production Value (current thousand US$),1341,Apples,2000,2000,1000 USD,84783,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,57,Gross Production Value (current thousand US$),1341,Apples,2001,2001,1000 USD,80855,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,57,Gross Production Value (current thousand US$),1341,Apples,2002,2002,1000 USD,186515,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,57,Gross Production Value (current thousand US$),1341,Apples,2003,2003,1000 USD,197904,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,57,Gross Production Value (current thousand US$),1341,Apples,2004,2004,1000 USD,153810,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,57,Gross Production Value (current thousand US$),1341,Apples,2005,2005,1000 USD,110683,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,57,Gross Production Value (current thousand US$),1341,Apples,2006,2006,1000 USD,137738,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,57,Gross Production Value (current thousand US$),1341,Apples,2007,2007,1000 USD,181002,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,57,Gross Production Value (current thousand US$),1341,Apples,2008,2008,1000 USD,250786,A,Official figure
QV,Value of Agricultural Production,554,New Zealand,57,Gross Production Value (current thousand US$),1341,Apples,2009,2009,1000 USD,169613,A,Official figure
