Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2001,2001,ha,1600,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2001,2001,t,12060,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2002,2002,ha,3106,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2002,2002,t,13398,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2003,2003,ha,3235,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2003,2003,t,10642,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2004,2004,ha,2563,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2004,2004,t,11752,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2005,2005,ha,3400,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2005,2005,t,22970,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2006,2006,ha,3000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2006,2006,t,15000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2007,2007,ha,4004,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2007,2007,t,20000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2008,2008,ha,4000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2008,2008,t,17000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2009,2009,ha,4117,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2009,2009,t,20500,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2010,2010,ha,3935,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2010,2010,t,21000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2011,2011,ha,3976,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2011,2011,t,21500,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2012,2012,ha,4149,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2012,2012,t,25500,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2013,2013,ha,4169,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2013,2013,t,24600,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2014,2014,ha,3893,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2014,2014,t,37900,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2015,2015,ha,3934,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2015,2015,t,29000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2016,2016,ha,4841,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2016,2016,t,35000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2017,2017,ha,3979,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2017,2017,t,27000,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2018,2018,ha,4527,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2018,2018,t,32864.71,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2019,2019,ha,4520,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2019,2019,t,34350.95,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2020,2020,ha,4869,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2020,2020,t,38338.64,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2021,2021,ha,4869,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2021,2021,t,37976,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2022,2022,ha,5283,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2022,2022,t,41950.43,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,1311,Avocados,2023,2023,ha,5283,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,1311,Avocados,2023,2023,t,42695.84,I,Imputed value,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2000,2000,ha,54500,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2000,2000,t,302000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2001,2001,ha,70192,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2001,2001,t,365000,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2002,2002,ha,78097,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2002,2002,t,440883,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2003,2003,ha,63402,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2003,2003,t,371837,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2004,2004,ha,48503,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2004,2004,t,226082,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2005,2005,ha,49825,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2005,2005,t,302023,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2006,2006,ha,47078,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2006,2006,t,277020,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2007,2007,ha,51481,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2007,2007,t,355627,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2008,2008,ha,67435,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2008,2008,t,408730,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2009,2009,ha,77669,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2009,2009,t,435270,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2010,2010,ha,52340,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2010,2010,t,308298,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2011,2011,ha,64868,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2011,2011,t,367958,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2012,2012,ha,65703,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2012,2012,t,438789,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2013,2013,ha,61328,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2013,2013,t,416478,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2014,2014,ha,59337,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2014,2014,t,405747,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2015,2015,ha,64164,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2015,2015,t,437144,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2016,2016,ha,51892,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2016,2016,t,364186,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2017,2017,ha,41967,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2017,2017,t,297598.9,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2018,2018,ha,56271,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2018,2018,t,379704.28,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2019,2019,ha,55457,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2019,2019,t,383651,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2020,2020,ha,45145,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2020,2020,t,337666,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2021,2021,ha,44200,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2021,2021,t,325057,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2022,2022,ha,48171,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2022,2022,t,329728,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5312,Area harvested,115,Barley,2023,2023,ha,50054,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,115,Barley,2023,2023,t,357882,A,Official figure,
QCL,Crops and livestock products,554,New Zealand,5510,Production,2960.01,Beeswax,2000,2000,t,220,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,2960.01,Beeswax,2001,2001,t,220,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,2960.01,Beeswax,2002,2002,t,230,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,2960.01,Beeswax,2003,2003,t,230,E,Estimated value,
QCL,Crops and livestock products,554,New Zealand,5510,Production,2960.01,Beeswax,2004,2004,t,240,E,Estimated value,
