year,region,landuse,area_ha
2017,Taranaki,Sheep,58389.76486
2017,Tasman,Beef,24321.61333
2017,Tasman,Dairy,29898.71525
2017,Tasman,Other livestock,3684.802469
2017,Tasman,Sheep,30817.26895
2017,Waikato,Beef,249175.3086
2017,Waikato,Dairy,642550.231
2017,Waikato,Other livestock,24650.50915
2017,Waikato,Sheep,157740.1512
2017,Wellington,Beef,82062.28264
2017,Wellington,Dairy,40516.39971
2017,Wellington,Other livestock,4545.014189
2017,Wellington,Sheep,165596.4035
2017,West Coast,Beef,27072.92835
2017,West Coast,Dairy,74106.48311
2017,West Coast,Other livestock,7923.340504
2017,West Coast,Sheep,7852.448031
2019,Area Outside Region,Beef,8605.939433
2019,Area Outside Region,Dairy,0
2019,Area Outside Region,Other livestock,47.28778663
2019,Area Outside Region,Sheep,15187.32754
2019,Auckland,Beef,68874.14014
2019,Auckland,Dairy,54823.93488
2019,Auckland,Other livestock,7056.359025
2019,Auckland,Sheep,26254.74527
2019,Bay of Plenty,Beef,48042.33902
2019,Bay of Plenty,Dairy,107836.2025
2019,Bay of Plenty,Other livestock,6504.241631
2019,Bay of Plenty,Sheep,22714.11164
2019,Canterbury,Beef,477037.386
2019,Canterbury,Dairy,326152.6337
2019,Canterbury,Other livestock,98487.83944
2019,Canterbury,Sheep,971792.0219
2019,Gisborne,Beef,143995.5461
2019,Gisborne,Dairy,4649.000345
2019,Gisborne,Other livestock,2460.247703
2019,Gisborne,Sheep,141752.587
2019,Hawke's Bay,Beef,256872.4408
2019,Hawke's Bay,Dairy,29748.92539
2019,Hawke's Bay,Other livestock,13341.21608
2019,Hawke's Bay,Sheep,291465.4264
2019,Manawatu-Whanganui,Beef,308062.0658
2019,Manawatu-Whanganui,Dairy,178832.8011
2019,Manawatu-Whanganui,Other livestock,14737.86327
2019,Manawatu-Whanganui,Sheep,516861.9794
2019,Marlborough,Beef,179978.202
2019,Marlborough,Dairy,10056.85636
2019,Marlborough,Other livestock,2638.84863
2019,Marlborough,Sheep,146606.1607
2019,Nelson,Beef,1848.117075
2019,Nelson,Dairy,1374.269722
2019,Nelson,Other livestock,103.4607926
2019,Nelson,Sheep,1931.094049
2019,Northland,Beef,240118.19
2019,Northland,Dairy,166101.144
2019,Northland,Other livestock,4112.352371
2019,Northland,Sheep,30544.90942
2019,Otago,Beef,382171.1277
2019,Otago,Dairy,133158.8291
2019,Otago,Other livestock,109503.1857
2019,Otago,Sheep,1151055.74
2019,Southland,Beef,124599.3785
2019,Southland,Dairy,239446.7278
2019,Southland,Other livestock,46863.58305
2019,Southland,Sheep,385998.3309
2019,Taranaki,Beef,69662.90317
2019,Taranaki,Dairy,207085.6914
2019,Taranaki,Other livestock,2262.222215
